IMGGenomeID,UpdatedIMGGenomeID,Clade
2716884792,2716884792,HLII
2716884790,2716884790,HLII
2716884788,2716884788,HLII
2716884787,2716884787,HLII
2716884786,2716884786,HLII
2716884785,2716884785,HLII
2716884784,2716884784,HLII
2716884782,2716884782,HLII
2716884780,2716884780,HLII
2716884779,2716884779,HLII
2716884776,2716884776,HLII
2716884775,2716884775,HLII
2716884774,2716884774,HLII
2716884773,2716884773,HLII
2716884771,2716884771,HLII
2716884770,2716884770,HLII
2716884769,2716884769,HLII
2716884768,2716884768,HLII
2716884767,2716884767,HLII
2716884765,2716884765,HLII
2716884760,2716884760,HLII
2716884755,2716884755,HLII
2716884735,2716884735,HLII
2716884727,2716884727,HLII
2716884726,2716884726,HLII
2716884719,2716884719,HLII
2716884479,2716884479,HLII
2716884478,2716884478,HLII
2716884474,2716884474,HLII
2716884458,2716884458,HLII
2716884457,2716884457,HLII
2716884453,2716884453,HLII
2716884452,2716884452,HLII
2716884449,2716884449,HLII
2716884448,2716884448,HLII
2716884446,2716884446,HLII
2716884437,2716884437,HLII
2716884436,2716884436,HLII
2716884430,2716884430,HLII
2716884425,2716884425,HLII
2716884423,2716884423,HLII
2716884422,2716884422,HLII
2716884421,2716884421,HLII
2716884420,2716884420,HLII
2716884419,2716884419,HLII
2716884418,2716884418,HLII
2716884417,2716884417,HLII
2716884416,2716884416,HLII
2716884415,2716884415,HLII
2716884414,2716884414,HLII
2716884413,2716884413,HLII
2716884412,2716884412,HLII
2716884411,2716884411,HLII
2716884408,2716884408,HLII
2716884407,2716884407,HLII
2716884406,2716884406,HLII
2716884405,2716884405,HLII
2716884404,2716884404,HLII
2716884403,2716884403,HLII
2716884402,2716884402,HLII
2716884401,2716884401,HLII
2716884400,2716884400,HLII
2716884383,2716884383,HLII
2716884380,2716884380,HLII
2716884378,2716884378,HLII
2716884372,2716884372,HLII
2716884368,2716884368,HLII
2716884366,2716884366,HLII
2716884365,2716884365,HLII
2716884364,2716884364,HLII
2716884363,2716884363,HLII
2716884362,2716884362,HLII
2716884361,2716884361,HLII
2716884360,2716884360,HLII
2716884359,2716884359,HLII
2716884358,2716884358,HLII
2716884357,2716884357,HLII
2716884356,2716884356,HLII
2716884355,2716884355,HLII
2716884264,2716884264,HLII
2716884263,2716884263,HLII
2716884262,2716884262,HLII
2716884260,2716884260,HLII
2706794882,2706794882,HLII
2706794833,2706794833,HLII
2706794829,2706794829,HLII
2684622569,2684622569,HLII
2681813573,2681813573,HLII
2671180704,2671180704,HLII
2667527356,2667527356,HLII
2667527353,2667527353,HLII
2667527352,2667527352,HLII
2667527351,2667527351,HLII
2667527350,2667527350,HLII
2667527349,2667527349,HLII
2667527348,2667527348,HLII
2667527347,2667527347,HLII
2667527346,2667527346,HLII
2667527344,2667527344,HLII
2667527343,2667527343,HLII
2667527341,2667527341,HLII
2667527340,2667527340,HLII
2667527339,2667527339,HLII
2667527338,2667527338,HLII
2667527337,2667527337,HLII
2667527336,2667527336,HLII
2667527335,2667527335,HLII
2667527334,2667527334,HLII
2667527333,2667527333,HLII
2667527332,2667527332,HLII
2667527331,2667527331,HLII
2667527330,2667527330,HLII
2667527329,2667527329,HLII
2667527326,2667527326,HLII
2667527325,2667527325,HLII
2667527324,2667527324,HLII
2667527323,2667527323,HLII
2667527321,2667527321,HLII
2667527308,2667527308,HLII
2667527307,2667527307,HLII
2667527306,2667527306,HLII
2667527305,2667527305,HLII
2667527304,2667527304,HLII
2667527303,2667527303,HLII
2667527302,2667527302,HLII
2667527301,2667527301,HLII
2667527300,2667527300,HLII
2667527299,2667527299,HLII
2667527298,2667527298,HLII
2667527297,2667527297,HLII
2667527296,2667527296,HLII
2667527295,2667527295,HLII
2667527294,2667527294,HLII
2667527293,2667527293,HLII
2667527292,2667527292,HLII
2667527291,2667527291,HLII
2667527290,2667527290,HLII
2667527289,2667527289,HLII
2667527288,2667527288,HLII
2667527287,2667527287,HLII
2667527286,2667527286,HLII
2667527285,2667527285,HLII
2667527284,2667527284,HLII
2667527283,2667527283,HLII
2667527280,2667527280,HLII
2667527278,2667527278,HLII
2667527277,2667527277,HLII
2667527272,2667527272,HLII
2667527271,2667527271,HLII
2667527267,2667527267,HLII
2667527263,2667527263,HLII
2667527258,2667527258,HLII
2667527255,2667527255,HLII
2667527254,2667527254,HLII
2667527253,2667527253,HLII
2667527252,2667527252,HLII
2667527251,2667527251,HLII
2667527250,2667527250,HLII
2667527249,2667527249,HLII
2667527248,2667527248,HLII
